,title,company,salary,summary
49,STAGE (2 MOIS) - DATA ACQUISITION ENGINEER - PYTHON DEVELOPE...,Voysen,,"En tant que Data Acquisition Engineer, vous intégrerez l'équipe technique de Voysen, pour travailler sur la collecte des données.Date de début : 01 avril 2021."
50,BACKEND PYTHON DEVELOPER,Luko,,Your mission in the team.As Backend Developer you will:Be in charge of building the best infrastructure and software for Luko;
51,STAGE Data Engineer / Backend Developer / Data Scientist,AI UNIVERSAL,1 000 € par mois,"To maintain our growth, we are looking for someone with great energy and work ethic keen to work in a fast-paced environment.Premier Emploi / Stage long durée."
52,Scientific Software Developer (Remote),Kepler Fi,,You could join our group of outstanding developers who are in the business of prototyping and developing advanced technology tools to transform investment…
53,Python developer - Data extraction (stage / job étudiant),Innoscape,,Innoscape est une startup RetailTech d’intelligence de marché digitale.Nous analysons les canaux de distribution et fournissons des outils d’aide à la gestion…
54,Developer Python Angular Full Stack,SARDEL INGENIERIE,2 872 € - 4 065 € par mois,Recherche pour l'un de ses grands comptes 2 Developer : 1 senior et 1 junior.Profil Python Angular Full Stack (2) dont un Tech Lead (pour encadrement Juniors).
55,PYTHON DEVELOPER,ITrust,27 000 € - 45 000 € par an,"The developer's mission is to develop, implement or modify software that meets the requirements of users.Prepare and write documents and technical support for…"
56,Developer Full Stack Python/Angular,SARDEL INGENIERIE,2 813 € - 3 988 € par mois,Vous occuperez un poste de Developer Full Stack Python et Angular Niveau Confirmé.> Vous intégrerez une équipe technique projet pour le compte d'un de nos…
57,FRONT OFFICE DEVELOPER - JUNIOR - PARIS - EYSINS - LONDON,Kepler Cheuvreux,,The ideal candidate will be a self-motivated experienced Web/Python developer with excellent communication skills.Role: Front Office Developer - Junior.
58,CDI -AI Application Customer Support Engineer M/F,STMicroelectronics,,"We extended the associated STM32CubeMX ecosystem for microcontroller developers, adding advanced Artificial Intelligence features."
59,Python Developer,PeopleDoc Germany GmbH,,"PeopleDoc is looking for experienced and talented web developers who love working with Python.One day per week, all the Python developers are invited to work…"
